Number 1 to 100000
1 and 6 are FRIENDLY
1 and 28 are FRIENDLY
1 and 496 are FRIENDLY
1 and 8128 are FRIENDLY
6 and 28 are FRIENDLY
6 and 496 are FRIENDLY
6 and 8128 are FRIENDLY
12 and 234 are FRIENDLY
28 and 496 are FRIENDLY
28 and 8128 are FRIENDLY
30 and 140 are FRIENDLY
30 and 2480 are FRIENDLY
30 and 6200 are FRIENDLY
30 and 40640 are FRIENDLY
40 and 224 are FRIENDLY
42 and 3472 are FRIENDLY
42 and 56896 are FRIENDLY
56 and 3724 are FRIENDLY
60 and 1170 are FRIENDLY
66 and 308 are FRIENDLY
66 and 5456 are FRIENDLY
66 and 89408 are FRIENDLY
78 and 364 are FRIENDLY
78 and 6448 are FRIENDLY
80 and 200 are FRIENDLY
84 and 270 are FRIENDLY
84 and 1488 are FRIENDLY
84 and 1638 are FRIENDLY
84 and 24384 are FRIENDLY
102 and 476 are FRIENDLY
102 and 8432 are FRIENDLY
114 and 532 are FRIENDLY
114 and 9424 are FRIENDLY
120 and 672 are FRIENDLY
132 and 2574 are FRIENDLY
135 and 819 are FRIENDLY
138 and 644 are FRIENDLY
138 and 11408 are FRIENDLY
140 and 2480 are FRIENDLY
140 and 6200 are FRIENDLY
140 and 40640 are FRIENDLY
150 and 700 are FRIENDLY
150 and 12400 are FRIENDLY
168 and 11172 are FRIENDLY
174 and 812 are FRIENDLY
174 and 14384 are FRIENDLY
186 and 868 are FRIENDLY
204 and 3978 are FRIENDLY
210 and 17360 are FRIENDLY
210 and 43400 are FRIENDLY
222 and 1036 are FRIENDLY
222 and 18352 are FRIENDLY
228 and 4446 are FRIENDLY
240 and 600 are FRIENDLY
246 and 1148 are FRIENDLY
246 and 20336 are FRIENDLY
252 and 4464 are FRIENDLY
252 and 73152 are FRIENDLY
258 and 1204 are FRIENDLY
258 and 21328 are FRIENDLY
270 and 1488 are FRIENDLY
270 and 1638 are FRIENDLY
270 and 24384 are FRIENDLY
276 and 5382 are FRIENDLY
280 and 18620 are FRIENDLY
282 and 1316 are FRIENDLY
282 and 23312 are FRIENDLY
294 and 24304 are FRIENDLY
300 and 5850 are FRIENDLY
308 and 5456 are FRIENDLY
308 and 89408 are FRIENDLY
318 and 1484 are FRIENDLY
318 and 26288 are FRIENDLY
330 and 1540 are FRIENDLY
330 and 27280 are FRIENDLY
330 and 68200 are FRIENDLY
348 and 6786 are FRIENDLY
354 and 1652 are FRIENDLY
354 and 29264 are FRIENDLY
360 and 2016 are FRIENDLY
364 and 6448 are FRIENDLY
366 and 1708 are FRIENDLY
366 and 30256 are FRIENDLY
372 and 7254 are FRIENDLY
390 and 1820 are FRIENDLY
390 and 32240 are FRIENDLY
390 and 80600 are FRIENDLY
402 and 1876 are FRIENDLY
402 and 33232 are FRIENDLY
420 and 7440 are FRIENDLY
420 and 8190 are FRIENDLY
420 and 18600 are FRIENDLY
426 and 1988 are FRIENDLY
426 and 35216 are FRIENDLY
438 and 2044 are FRIENDLY
438 and 36208 are FRIENDLY
440 and 2464 are FRIENDLY
444 and 8658 are FRIENDLY
462 and 38192 are FRIENDLY
474 and 2212 are FRIENDLY
474 and 39184 are FRIENDLY
476 and 8432 are FRIENDLY
492 and 9594 are FRIENDLY
496 and 8128 are FRIENDLY
498 and 2324 are FRIENDLY
498 and 41168 are FRIENDLY
504 and 33516 are FRIENDLY
510 and 2380 are FRIENDLY
510 and 42160 are FRIENDLY
516 and 10062 are FRIENDLY
520 and 2912 are FRIENDLY
532 and 9424 are FRIENDLY
